Department,Code,Sarvam STT,Corrected Transcription
Helpdesk,Hd_Q_39.ogg,"मी राजेश गावडे, मला गव्हर्नमेंटची 20 रुपयाची पॉलिसी पाहिजे.",मी राजेश गावडे मला गव्हर्नमेंटची वीस रुपयाची पॉलिसी पाहिजे
Helpdesk,Hd_Q_40.ogg,"हेलो सर, मैं दर्शना बोल रही हूँ, मुंबई सेंटर दिल्ली भेजर से मेरा आयुष्मान कार्ड बनाने का है, क्या डॉक्यूमेंट्स लाने का है?",हेलो सर मैं दर्शना बोल रही हूँ मुंबई सेंटर डेली वेजर से मेरा आयुष्मान कार्ड बनाने का है क्या डॉक्यूमेंट्स लाने का है
Helpdesk,Hd_Q_41.ogg,"मी आरती शिराळ, माझं आणि माझ्या मुलाचं आधार कार्ड अपडेट केलं ते आलं नाही, मला पाहिजे आहे.",मी आरती शिराळ माझं आणि माझ्या मुलाचं आधार कार्ड अपडेट केलं ते आलं नाही मला पाहिजे आहे
Helpdesk,Hd_Q_42.ogg,"मी पुष्पा, माझं आयुष्मान कार हलवलं आहे, मला परत काढायचं आहे.",मी पुष्पा माझं आयुष्मान कार्ड हारवले आहे मला परत काढायचं आहे
Helpdesk,Hd_Q_43.ogg,"मी माझं नाव भारती पागे आहे, मला आयुष्मान कार्ड काढायचं आहे, काय काय डॉक्युमेंट लागतील?",मी माझं नाव भारती पागे आहे मला आयुष्मान कार्ड काढायचं आहे काय काय डॉक्युमेंट लागतील
Helpdesk,Hd_Q_44.ogg,"हाय दीदी, मैं कल्पना सनी बोल रही हूँ, बी सी ए ऑफिस से, मुझे आधार कार्ड और पैन कार्ड लिंक कराना है।",हाय दीदी मैं कल्पना सनी बोल रही हूँ बीसी ऑफिस से मुझे आधार कार्ड और पैन कार्ड लिंक कराना है
Helpdesk,Hd_Q_45.ogg,"मी सरिता पागे, माझ्या राशन कार्डवरती ऑनलाइन नावं दिसत नाही.",मी सरिता पागे माझ्या राशन कार्डवरती ऑनलाइन नावं दिसत नाही
Helpdesk,Hd_Q_46.ogg,"மே கலை ரசி, மேரா பேட்டி கே நேம் ரேஷன் கார்டு மே லகானேக்கா, உஸ்கோ ஆதார் கார்டு நய் ஹே, பெட் சர்டிபிகேட் ஹே.",मै कलैरसी मेरी बेटी का नाम राशन कार्ड में लगाना है उसके पास आधार कार्ड नहीं है बर्थ सर्टिफिकेट है
Helpdesk,Hd_Q_47.ogg,स्मित मी स्मिता भोसाळकर माझ्या पॅन कार्डवर आधार स्पेलिंग चेंज करायचे त्याच्यासाठी काय काय डॉक्युमेंट लागतील?,मी स्मिता भोसाळकर माझ्या पॅन कार्डवर आधार स्पेलिंग चेंज करायचे त्याच्यासाठी काय काय डॉक्युमेंट लागतील
Helpdesk,Hd_Q_48.ogg,"मी जयंती सावंत, माझ्या आईकडचं आदर रेशन करते, नाव कट केलंय पण ते दिसत नाहीये.",मी जयंती सावंत माझ्या आईकडचं आदर रेशन कार्डचे नाव कट केलंय पण ते दिसत नाहीये
Helpdesk,Hd_Q_49.ogg,"मी जयंती सावंत, मला माझ्या हजबंडचं आणि मुलांचं आयुष्मान कार्ड बनवायचं आहे.",मी जयंती सावंत मला माझ्या हजबंडचं आणि मुलांचं आयुष्मान कार्ड बनवायचं आहे
Helpdesk,Hd_Q_50.ogg,"मेरा नाम लक्ष्मी है, मेरा राशन कार्ड का है और राशन मेरे नाम पे मिलता है, तीनों बच्चों को नहीं मिलता है।",मेरा नाम लक्ष्मी है मेरा राशन कार्ड का है और राशन मेरा नाम पे मिलता है तीनों बच्चों को नहीं मिलता है
Helpdesk,Hd_Q_51.ogg,"मैं उमा रानी बोल रही हूँ एमआईडीसी से, मुझे आयुष्मान कार्ड मेरे हस्बैंड के लिए और मेरे बच्चे के लिए बनाना है, क्या क्या डॉक्यूमेंट चाहिए?",मैं उमा रानी बोल रही हूँ एमआईडीसी से मुझे आयुष्मान कार्ड मेरे हस्बैंड के लिए और मेरे बच्चे के लिए बनाना है क्या क्या डॉक्यूमेंट चाहिए
Helpdesk,Hd_Q_52.ogg,"मैं बबीता विलास परदेसी मुंबई सेंट्रल आईजीपी से, मुझे लोन चाहिए।",मैं बबीता विलास परदेसी मुंबई सेंट्रल आईजीपी से मुझे लोन चाहिए
Helpdesk,Hd_Q_53.ogg,"हॅलो प्रीती, मी सारिका बोलते. मला रेशन कार्डमध्ये ना गॅजेट तयार झाले ना, तर आता तिथे काय करायला जाऊ? काय काय डॉक्युमेंट्स घेऊन जायला लागेल?",हॅलो प्रीती मी सारिका बोलते मला रेशन कार्डमध्ये ना गॅजेट तयार झाले ना तर आता तिथे काय करायला जाऊ काय काय डॉक्युमेंट्स घेऊन जायला लागेल
Helpdesk,Hd_Q_54.1.ogg,मॉर्निंग अन्नू मैडम। मेरा ये महीने में लास्ट रहेगा वो देने का लोन का। फिर अगले महीने में मैं फ्री हो जाती हूं तो मुझे मिल जाएगा तो इस महीने में मिल जाता तो अगले महीने से फिर मेरा पैसा कटिंग करना चालू कर देते। मैंने गए महीने में चेक करवाया था मेरा ये मंथ है ना लास्ट था इसीलिए मैंने मैसेज डाला है।,मॉर्निंग अन्नू मैडम मेरा ये महीने में लास्ट रहेगा वो देने का लोन का फिर अगले महीने में मैं फ्री हो जाती हूँ तो मुझे मिल जाएगा तो इस महीने में मिल जाता तो अगले महीने से फिर मेरा पैसा कटिंग करना चालू कर देते मैंने गए महीने में चेक करवाया था मेरा ये मंथ है ना लास्ट था इसीलिए मैंने मैसेज डाला है
Helpdesk,Hd_Q_54.ogg,"हेलो, गुड आफ्टरनून, मैं शाहजहाँ बोल रही हूँ। मेरा लोन यह मही यह मंथ में एंड फिनिश हो जाएगा। नेक्स्ट मंथ में मुझे लोन वापस मिल सकता है क्या?",हेलो गुड आफ्टरनून मैं शाहजहाँ बोल रही हूँ मेरा लोन यह मही यह मंथ में एंड फिनिश हो जाएगा नेक्स्ट मंथ में मुझे लोन वापस मिल सकता है क्या
Helpdesk,Hd_Q_55.ogg,"सॉरी, गुड आफ्टरनून, मैं बी सी ऑफिस से वत्सला बामने, मुझे आयुष्मान कार्ड बनवाना है।",सॉरी गुड आफ्टरनून मैं बी सी ऑफिस से वत्सला बामने मुझे आयुष्मान कार्ड बनवाना है
Helpdesk,Hd_Q_56.ogg,"मैं जीसी ऑफिस से आदिका बोल रही हूँ, मेरा आधार कार्ड अपडेट करना है 2-3 महीना पहले। मैं यहाँ पर आई थी आई थी मैं, अभी तक आया नहीं है अपडेट के और कब तक आएगा।",मैं बीसी ऑफिस से हडिका बोल रही हूँ मेरा आधार कार्ड अपडेट करना है  दो - तीन महीना पहले मैं यहाँ पर कराई थीं ई जी पी मैं अभी तक आया नहीं है अपडेट करके और कब तक आएगा
Helpdesk,Hd_Q_57.1.ogg,"मेरा है ना आधार कार्ड, पैन कार्ड, वोटर आई डी, ये तीनों पे एड्रेस चेंज करना है।",मेरा है ना आधार कार्ड पैन कार्ड वोटर आई डी ये तीनों पे एड्रेस चेंज करना है
Helpdesk,Hd_Q_57.ogg,"मैं अंजम, मैं बी सी ऑफिस से बोल रही हूँ। मुझे ना डॉक्यूमेंट्स पे एड्रेस चेंज कराना है, तो क्या क्या अप्रूप लाना है तो आप मुझे बता दीजिए।",मैं अंजम मैं बी सी ऑफिस से बोल रही हूँ मुझे है ना डॉक्यूमेंट्स पे एड्रेस चेंज कराना है तो क्या क्या प्रूप लाना है तो आप मुझे बता दीजिए
Helpdesk,Hd_Q_58.ogg,"दिनेश सर, पहले मेरी बेटी का लाड़की बहना का पैसा मिल रहा था, अभी ये 2 महीने से नहीं मिल रहा है, ज़रा चेक करो ना क्या प्रॉब्लम है।",दिनेश सर पहले मेरी बेटी का लाड़की बहना का पैसा मिल रहा था अभी यह दो महीने से नहीं मिल रहा है जरा चेक करो ना क्या प्रॉब्लम है
Helpdesk,Hd_Q_59.ogg,"हे नावाचं लोन आज येणार होतं, आलं नाहीये हे.",हे नावाचं लोन आज येणार होतं आलं नाहीये हे
Helpdesk,Hd_Q_60.ogg,"हेलो प्रीति, एमआईडीसी से साइस्ता बोल रहे हो? आयुष्मान कार्ड बनवाने के लिए फैमिली कब बोला था?",हेलो प्रीति एमआईडीसी से साइस्ता बोल रहे हो आयुष्मान कार्ड बनवाने के लिए फैमिली का बोला था
Helpdesk,Hd_Q_61.ogg,"मैं सीमा बोल रही हूँ एमआरडीसी से, मुझे अपने हस्बैंड का वोटिंग कार्ड निकलवाने का है।",
Helpdesk,Hd_Q_62.ogg,"मैं सीमा बोल रही हूँ, मुझे अपनी लड़की का स्कॉलरशिप भरने का है।",
Helpdesk,Hd_Q_63.ogg,"मैं जुलेखा अंसारी बीसी से बोल रही हूँ, मुझे ना डुप्लीकेट कार्ड बनाना है, राशन कार्ड।",
Helpdesk,Hd_Q_64.ogg,पैशन कार्ड और इलेक्शन बनवाना है मतलब ट्रांसपोर्ट करना है मानपुर से इधर से अली में इधर करना है नंबर। एड्रेस चेंज करना है। हां एड्रेस चेंज। आपका नाम बताओ। नंदा नंदा रंजीत प्रदेश की।,
Helpdesk,Hd_Q_65.ogg,"सर मेरे लड़के ने इलेक्शन का फॉर्म सब भरा, 1 महीना हो गया अभी तक आया क्यों नहीं?",
Helpdesk,Hd_Q_66.ogg,"मी शीला सदा फुले एमएडीसी मधून बोलते, लोनचा फॉर्म भरायचा आहे.",
Helpdesk,Hd_Q_67.ogg,"मी आरती किरकिरे एमआयडीसीमधून बोलते, मला लोनचा फॉर्म भरायचा आहे.",
Helpdesk,Hd_Q_68.ogg,"मी गीता शिंदे एमआयडीसीमधून बोलते, मला लोन घ्यायचा आहे.",
Helpdesk,Hd_Q_69.ogg,"हेलो, मैं लुईसा हूँ, मुझे मेरे बच्चे का स्कॉलरशिप का फॉर्म भरने का है, इसलिए कौन सा डॉक्यूमेंट लगेगा?",
Helpdesk,Hd_Q_70.ogg,"मॅडम, लोन फॉर्म भरायला कधी येऊ?",
Helpdesk,Hd_Q_71.ogg,"मैं रानी सुधाकर, मुझे लोन चाहिए।",
Helpdesk,Hd_Q_72.1.ogg,"सर मैं बबीता विलास बोल रही हूँ, मुंबई सेंटर से मुझे लोन कब तक मिलेगा? कन्फर्म करो ना सर प्लीज़।",
Helpdesk,Hd_Q_72.ogg,"सर मैं बबीता विलास प्रदेश से मुंबई सेंटर से, मुझे लॉन ऑफ मोबाइल स्कूल के लिए पूछना था।",
Helpdesk,Hd_Q_73.ogg,"मैं उमा रानी एमएडी से बोल रही हूँ, मुझे एडवांस लोन चाहिए मैडम।",
Helpdesk,Hd_Q_74.ogg,"मी सानिका कुडाळकर एमआयडीसी ऑफिससे बोल रही हूं, मुझे लोन चाहिए.",
Helpdesk,Hd_Q_75.ogg,"मैं स्नेहा मिसाळ फ्रॉम एमआईबीसी, मुझे लोन के लिए अप्लाई करना है।",
Helpdesk,Hd_Q_76.ogg,"मी एमएडसी ऑफिसमधून अक्षता बेर्डे, मला मुलाचं आणि मित्रांचं आयुष्मान कार्ड काढायचं आहे.",
Helpdesk,Hd_Q_77.ogg,"हाय, मी मनीषा जाधव एमआयडीसीमधून बोलते. मला माझ्या मिस्टरांचं आणि मुलांचं आयुष्यमान काळ काढायचं आहे. ते काय डॉक्युमेंट्स लागतील?",
Helpdesk,Hd_Q_78.ogg,"मी सोनू राणे, मी एमआयडीसीवरून बोलते. मला माझ्या मुलांचा आणि हजबंडचा आयुष्मान कार्ड बनवायचा आहे.",
Helpdesk,Hd_Q_79.ogg,मी छाया निकम एमआरडीएस वरून बोलते आहे. हावड्यामध्ये मला लोन पाहिजे आहे.,
Helpdesk,Hd_Q_80.ogg,"मैं रामानंद एमआईडीसी से बोल रहा हूँ, मेरा पैन कार्ड गुम हो गया है, क्या क्या डॉक्यूमेंट लगेगा वह बताइए।",
Helpdesk,Hd_Q_81.1.ogg,"मैडम अभी मेरे पास स्टेशन है, मैं ये कल लेके आई चले गए।",
Helpdesk,Hd_Q_81.ogg,"हाय नंदिनी, अगर आपको आयुष्मान कार्ड बनाना है तो आपका राशन कार्ड का नाम होना ज़रूरी है और आधार कार्ड, आधार कार्ड से जो भी नंबर लिंक है वह नंबर लेकर आइए।",
Helpdesk,Hd_Q_82.ogg,"मी सुष्मिता बाबर एमआरडीसीवरून बोलते. आधार कार्डचा ॲड्रेस चेंज केलेला होता, तर अजून आलं नाही, चेक करायचं आहे.",
Helpdesk,Hd_Q_83.ogg,"मी नेहा एकवडे, मला माझ्या मुलाचा स्कॉलरशिपचा फॉर्म भरायचाय.",
Helpdesk,Hd_Q_84.ogg,"मी शहनाज बाबा बोलते आहे, लोन येणार आहे ना आज?",
Helpdesk,Hd_Q_85.ogg,"बोल दबा उंगली से दबा के बोल। हेलो सर, मैं भावना बोल रही हूँ। मेरे को है ना इलेक्शन का ये बनाना है और राशन कार्ड का कराने का है। वो आप बताओ मैं भेजो।",
Helpdesk,Hd_Q_86.ogg,"मैं साइस्ता बोल रही हूँ एमआईडीसी से, मुझे मेरे हस्बैंड का और बेटे का आयुष्मान कार्ड बनवाना है।",
Helpdesk,Hd_Q_87.ogg,सर मेरा आधार कार्ड पैन कार्ड लिंक कराना अभी तक मेरा काम हुआ नहीं है प्लीज जल्दी कराना,
Helpdesk,Hd_Q_88.ogg,"हाय मैम, मुझे पैसे की बहुत ज़रूरत है मैडम। अर्जेंटली मुझे पैसा चाहिए, इसके लिए मुझे लोन दीजिए मैडम। जो मेरा 2 हफ्ता है वो आप काट के दे सकते हो मैडम, मगर मुझे बहुत ज़रूरत है पैसे की, प्लीज़ प्लीज़ मैडम।",
Helpdesk,Hd_Q_89.ogg,"काय कुरियन बोलते आहे, मला लोनबद्दल बोलायचं आहे.",
Helpdesk,Hd_Q_9.ogg,"प्रीती, मला पण आरडीचं ॲड्रेस बदली करायचंय, मी येऊ का?",प्रीती मला पण आरडीचं ॲड्रेस बदली करायचं आहे मी येऊ का
Helpdesk,Hd_Q_90.ogg,"सर मैं रेनू परदेसी बोलती हूँ, हम लोग का पास लोग अभी तलक नहीं आए बोला था, 3 4 दिन में आ जाएगा पर अभी तलक पास नहीं आए दिल है सर।",
Helpdesk,Hd_Q_91.ogg,"मैं मुंबई सेंटर बीसी से बोल रही हूँ, मुझे आयुष्मान कार्ड बनाना है।",
Helpdesk,Hd_Q_92.ogg,"मी गीता शिंगडे एमआयडीसीमधून बोलते, प्रीती लोन कधीपर्यंत येणार?",
Helpdesk,Hd_Q_93.ogg,"हॅलो प्रीती मॅडम, मी कधी येऊ फॉर्म भरायला ऑफिसमध्ये तुम्ही सांगा.",
Helpdesk,Hd_Q_94.ogg,मला सिद्धीच्या स्कॉलरशिपसाठी मेल आला आहे.,
Helpdesk,Hd_Q_95.ogg,"हाय, मैं अप्सरा बीसी ऑफिस से वत्सला बामने, मुझे राशन कार्ड के बारे में पूछताछ करनी है दिनेश सर से, तो वो मुझे कब और कैसे मिलेंगे प्लीज़?",
Helpdesk,Hd_Q_96.ogg,"सर मेरा नाम रेखा है, मुझे लोन जानना है और लोन लेना है।",
Helpdesk,Hd_Q_97.ogg,"मैं शिव अर्जुन बेतवाला बोल रहा हूँ सर, मुझे आधार कार्ड और सेम कार्ड लिंक करवाना है, थैंक यू सर।",
Helpdesk,Hd_Q_98.ogg,"मैं राखी जी का लड़का बात कर रहा हूँ, मुझे कुछ दस्तावेज़ बनाने थे, पेन कार्ड, इलेक्शन कार्ड, आयुष्यमान कार्ड।",
Helpdesk,Hd_Q_99.ogg,मुझे पीए केवाईसी करना है।,
NextGen,NG_Q_1.ogg,बीआईटी में ट्यूशन टीचर नहीं आ रहे हैं।,
NextGen,NG_Q_2.ogg,मी स्नेहा मिसाळ एमआयडीसी वरनं मला प्रीती मॅडम शिरा फाउंडेशन बद्दल माहिती विचारायची आहे.,
Production,P_Q_1.ogg,"25 दिसंबर को हमारा ऑप्शनल छुट्टी था, तो हमने फिर भी इधर भरा था, तो हमको डबल मिलेगा या सिंगल पेमेंट मिलेगा? मैं बबीता विलास बोल रही हूँ।",पच्चीस दिसंबर को हमारा ऑप्शनल छुट्टी था तो हमने फिर भी इधर भरा था तो हमको डबल मिलेगा या सिंगल पेमेंट मिलेगा मैं बबीता विलास बोल रही हूँ
Production,P_Q_10.ogg,"मैं बीसी ऑफिस से हदिका बोल रही हूँ, अभी हम लोग को काम सही से मिल नहीं रहा है तो मैं क्या बोल रही थी? काम नहीं है तो टाइम चेंज कर दो, सुबह 9 बजे से बुला रहे हैं ना तो 11 बजे से बुलाओ और रात में भी जल्दी ही माल खत्म हो जाता है इसलिए मैं बोल रही थी टाइमिंग चेंज कर दो ना, 8 घंटे का कर दो, 12 घंटा क्यों रखे हैं? ऐसा हम लोग फिर बैठे रहते हैं।",
Production,P_Q_11.ogg,"हाय टेनी टीम, मैं भारती बोल रही हूँ बीसी ऑफिस से। मुझे मेरा पेमेंट के बारे में जानना है जनवरी का। यह जो पेमेंट आया है, इसमें हमने संडे को भी काम किया था। एक बार शूटिंग था और एक बार डेली बेसिस वाले के साथ फोल्डिंग का काम किया था फुल डे। तो उसका भी पेमेंट ऐड हुआ है या वह बाद में आएगा या सब साथ में आया है? मुझे बताएंगे।",
Production,P_Q_12.ogg,"मैं आदिका शेख बोल रही हूँ बॉम्बे सेंटर ऑफिस से, मेरी मशीन बहुत ज़्यादा ख़राब थी, अब्दुल भाई बोल रहे हैं लेके जाना पड़ेगा और मुझे दूसरी मशीन मिली है वो पहले से ही ख़राब है और उसको भी बोल रहे हैं लेके जाना पड़ेगा और मैं फुल डे आती हूँ, मैं कहाँ बैठूँ? मुझे जगह भी अरेंज करके नहीं दे रहे और दे रहे तो हाफ डे दे रहे, फिर मैं क्या करूँ अभी? फिर इधर उधर किधर बैठू नाही बैठू कोई बैठने भी नाही देगा ना ऐसा.",
Production,P_Q_13.ogg,"दीदी, आज जुको का समर गुडी बैग का 50 पीस मिला है, आज टाइम बढ़ाएंगे क्या? क्योंकि 7 बजे तक काम पूरा नहीं होगा।",
Production,P_Q_14.ogg,"मैं जुलेखा अंसारी बी सी से बोल रही हूँ, समर गुडी पैक मिला है, ज़रा हमारा टाइम बढ़ा दीजिए प्लीज़।",
Production,P_Q_15.ogg,"दीदी, 9 बजे तक जो टाइम था वह बढ़ा दो ना, दीदी हाथ में काम आया है।",
Production,P_Q_16.ogg,"मैं बीसी ऑफिस से बोल रही हूं। प्लीज दीदी यहां पर एक रूल एज रेगुलेशन बनाइए। यहां पर कैसा है? पीस कोई भी लेते हैं इसके वजह से बहुत मगजमारी होता है। पीस ले लेते हैं, बारकूट ले लेते हैं, लेबल ले लेते हैं, सब ले ले के एक्स्ट्रा ले के छुपा के रखते हैं। तो ये चीज नहीं होना चाहिए दीदी। फिर इस चीज के वजह से ना बहुत इशू होता है यहां पर। तो एक रूल बनाइए अगर हमारा पीस हो गया उनको बोलो चेक करने के लिए। पीस नहीं भी हुआ है। तो ये लोग छुपा देते हैं पीस बैग के नीचे और बोलते हैं एक दूसरे को दे देते हैं, बोलते हैं कि बोलना पूछने आएंगे तो मेरा पीस हो गया। तो ये चीज नहीं होना चाहिए दीदी, ये चीज के वजह से ना बहुत इशू होता है। फिर वो बोले उनको नहीं बोला, उनको नहीं बोलना, बोला ये नहीं होना चाहिए दीदी प्लीज। आई एम रिक्वेस्ट स्वीप।",
Production,P_Q_17.ogg,"गुड आफ्टरनून सर, फ्लोर पे बहुत सारा काम है। पीस सब फोल्डिंग करना है, कुछ थ्रेडिंग है, तो सब अगर दो टाइम दो घंटे का ओटी देंगे तो वो थोड़ा क्लीन हो जाएगा।",
Production,P_Q_18.ogg,"गुड आफ्टरनून मैडम। फ्लोर में है ना, चेकिंग के लिए भी पीस है और फोल्डिंग के लिए भी पीस उधर इधर है। दो घंटा ओटी देगा तो फ्लोर भी क्लीन रहेगा, हम कर सकते है।",
Production,P_Q_2.ogg,"हाय, मैं भारती बोल रही हूँ बी सी ऑफिस से। मुझे यह जानना है कि मुझे मेरा समर गुडी बैग कितना हुआ है और उसका कितना पैसा हुआ है और जी डब्ल्यू पी जो अभी चालू हुआ है वह कितना पीस हुआ है और उसका कितना पेमेंट हुआ है। यह महीने में मेरा टोटल कितना पेमेंट हुआ है मुझे वह जानना है।",हाय मैं भारती बोल रही हूँ बी सी ऑफिस से मुझे यह जानना है कि मुझे मेरा समर गुडी बैग कितना हुआ है और उसका कितना पैसा हुआ है और जी डब्ल्यू पी जो अभी चालू हुआ है वह कितना पीस हुआ है और उसका कितना पेमेंट हुआ है यह महीने में मेरा टोटल कितना पेमेंट हुआ है मुझे वह जानना है
Production,P_Q_20.ogg,"हेलो अनु दीदी, मैं सीता बोल रही हूँ। मेरा पेमेंट में ₹1000 कम आया है। आप ज़रा चेक करके देखिए ना। मैंने ना 2 संडे को मैंने टेलीविज़न का काम किया था। एक एक बार मैंने शूटिंग का काम किया था और एक बार टेलीविज़न का काम किया। आप देख के बताइए।",
Production,P_Q_21.ogg,"मैं मुंबई सेंटर से नंदनी परदेसी बोल रही हूँ, मैं भी इसी से बोल रही हूँ। मेरा अल्टर है ना, ललिता है ना, मेरा अल्टर बहुत निकालती है, बहुत हद से ज़्यादा। वो ऐसा लगता है कभी-कभी अपने से ही अल्टर को कट कर देती है।",
Production,P_Q_22.ogg,"दीदी मैं बीसी से बोल रहा हूं शक्ति। अब आज सुबह क्या हुआ दीदी हम लोग ऑल्टर लेते हैं ना तो तापट तोप बना के दे देते हैं। जो ब्लू धागा रहता है या नहीं रहता है ना तो ब्लू धागा लगाने के बाद में हम लोग ऑल्टर दे देते हैं। अभी कल की बात है सबको मैं दे दिया तीनों जन मेरे को ऑल्टर दिए थे। सबको दे दिया है बाला बोलती है तीन चार दिन पहले मैं दी थी तो दिया ही नहीं अभी तक। ऐसा बोला मेरे पास कुछ है ही नहीं पीस। 25 के अलावा जो एक्स्ट्रा रहेगा तो मैं दूंगा ना, तो बाद में थोड़ा आज सुबह इशू हो गया।",
Production,P_Q_23.ogg,"हेलो, मैं बीसीजी से बोल रही हूँ और मैं जो भी अल्टर देती हूँ इधर पर चेक इन करके, तो इधर कोई अपसेट करता नहीं है हमें। सपना परदेसी के सामने अल्टर दी थी और वो शक्ति अपसेट करता ही नहीं है और मैं बोलने के अल्टर मांग रही है, मांग रहे तो वो चिल्ला चिल्ला के हम लोग के ऊपर अकड़ता है। हम लोग को अपसेट करता नहीं लेडीज़ लोग से कैसा बात करने का, ऐसा ऐसा बात पे हम लोग को सब कोई। जितने जन है ना उतने जन बोलते हैं और अल्टर करके ही नहीं देते झूठ झूठ बोलते हैं दिए हैं हम लोग दिया है और बोलने जाएंगे तो लड़ने के लिए चढ़ते हैं मैं भावना भावना परदेसी बोल रही हूं",
Production,P_Q_24.ogg,"हेलो सर, मैं ये बोल रहा हूँ मुंबई चल रहे थे। ये आशीष भी देने वाला नाटक करता है बोले। लाख लाख देता है, दोस्तों को अच्छा भी देता है। तो बोलता है करना है करो तो जाओ बोलता है।",
Production,P_Q_25.ogg,दीदी सब ऐसा पीस है मुड़ा हुआ तो सब बोलते हैं हमको सीधा सीधा पीस दे मुड़ा वाला नहीं चाहिए।,
Production,P_Q_26.ogg,"मैं बीसी ऑफिस से हदीका बोल रही हूँ, मेरी मशीन ख़राब थी तो फिर बनने के लिए गई थी, 4 दिन के बाद आई है बनके, फिर भी मशीन वैसे ही चल रही है, मशीन ठीक हुई नहीं है और मुझे बहुत प्रॉब्लम हो रहा है और मेरी जगह चेंज हो सकती है, मेरी जगह चेंज ख़राब होती है, तो जगह चेंज करना। तो फिर ये जगह चेंज करना ये प्रॉब्लम हो रहा है इधर पे।",
Production,P_Q_27.ogg,"हाँ सर, मैं राकेश सर से बात करना चाहती हूँ। मैं ग्रैंड रोड के ऑफिस से बोल रही हूँ, यास्मीन अय्यूब खान। मेरे को आशीष के खिलाफ कंप्लेंट करना है। वह वह है ना किसी को मतलब पॉलिसिटी मतलब पीस बराबर दे नहीं रहा है। किसी किसी को एकदम अच्छा निकाल के दे रहा है और किसी के साथ ऐसा बोलता है और सामने वाला बोलेगा तो बोलता है डायरेक्ट घर जाओ।",
Production,P_Q_28.ogg,"राकेश सर, यह मैसेज आपके लिए है। मैं बी सी ऑफिस से भारती बोल रही हूँ। फ्लोर में अभी भी जब माल खत्म होता है, यानी पीस खत्म होता है, जब थोड़ा पीस बचता है, तो फ्लोर में सभी लोग के पास में, बहुत सारे लोग के पास में बिना एंट्री कराए एक-एक पी मतलब एक-एक 25 का बंच होता है सर, हाँ। और ना सुपरवाइजर लोग ध्यान देते हैं या नहीं देते हैं यह मुझे नहीं मालूम, लेकिन बहुत सारे लोग के पास रहता है, वह लोग को बोलो ध्यान देने के लिए। ठीक है, मैं अपना भी बता रही हूँ, 2-4 पीस एक्स्ट्रा रखते हैं हम, सभी रखते हैं, 2-4 पीस जो भी है, 2-4, 5-6 जो भी है, एक्स्ट्रा रखते हैं, लेकिन एंड में हम लोग उसको एडजस्ट करते हैं। लेकिन ऐसे नहीं करते हैं कि हम एंट्री कराए नहीं हैं और पीस लेकर रख लिए हैं क्योंकि हमको पता चल गया है कि अब पीस थोड़ा है, माल खत्म होने वाला है, आएगा कब आएगा कब नहीं आएगा, तो हम ऐसे करके रख लें। तो बहुत सारे लोग हैं जिनका मैं नाम नहीं ले सकती क्योंकि मुझे है ना सभी को डर रहता है कि हमारी बात लीक होती है इसीलिए मैं नाम नहीं ले सकती हूँ। लेकिन प्लीज़ आप सुपरवाइज़र को बोलो कि चेक करें जब भी माल थोड़ा होता है, सबके पास पीस चेक करें किसके पास है या नहीं है, फ़ाइल चेक करें कल का कितना माल है, कितना लिए हैं। सर इसमें क्या प्रॉब्लम है? जो स्लो है उनको नहीं मिल पाता, मेरे जैसे बहुत सारे लोग स्लो हैं और ऐसे चालाक लोग जो फ़ास्ट हैं बहुत सारे लोग। हैं 5-6 लोग जिसका मैं नाम नहीं लूँगी, तो वो लोग क्या करते हैं, ऐसे करते हैं।",
Production,P_Q_3.ogg,"హలో సార్, గుడ్ ఈవెనింగ్. ఇదర్ ఎక్స్ట్రా కామ్ రే కనా అప్నా సబ్ లేడీస్ లోక్ బోల్ రే. ఈవెనింగ్ మే ఏక్ గంట ఓర్ టైం చాహియే. శాయిద్ ఫిబ్రవరి మే సే ఉన్ లోక్ కో చాహియే కర్కే బోల్ రే.",हेलो सर गुड इवनिंग इधर एक्स्ट्रा काम रहेगा ना अपना सब लेडीज लोग बोल रहे हैं इवनिंग में एक घंटा और टाइम चाहिए शायद फरवरी में से उन लोग को चाहिए करके बोल रहे हैं
Production,P_Q_4.ogg,"हमें ओटी के टाइम में शाम को ही नाश्ता चाहिए, 4 बजे नाश्ता करेंगे तो 7 बजे भूख लगती है और चाय भी नहीं मिलती है।",हमें ओटी के टाइम में शाम को ही नाश्ता चाहिए चार बजे नाश्ता करेंगे तो सात बजे भूख लगती है और चाय भी नहीं मिलती है
Production,P_Q_5.ogg,"हमें 4 बजे नाश्ता नहीं चाहिए, 6.30 बजे चाय और नाश्ता दोनों चाहिए।",हमें चार बजे नाश्ता नहीं चाहिए साडे छेह बजे चाय और नाश्ता दोनों चाहिए
Production,P_Q_6.ogg,"हमें 4 बजे नाश्ता नहीं चाहिए, हमें 6.30 बजे नाश्ता और चाय चाहिए।",हमें चार बजे नाश्ता नहीं चाहिए हमें साडे छेह बजे नाश्ता और चाय चाहिए
